Title	FRED Chemgauss4 score
C90313229	P141186972	-8.521114
C48630893	P72706708	-8.513668
L-Threonine	P10000027	-8.512259
C86233004	P145216779	-8.509048
C93934857	P147229780	-8.507729
C97489182	P154436569	-8.503451
C84117419	P131645698	-8.500462
C54956955	P82741422	-8.500153
C51924279	P77771538	-8.498533
C43705453	P66072042	-8.492899
C36946826	P54931962	-8.490128
C97135058	P153777836	-8.488159
C48630886	P72699249	-8.486809
C85419065	P133674711	-8.483672
C86453848	P135358716	-8.479109
C48630813	P72706607	-8.478110
C39941433	P60608795	-8.471666
C84405529	P132100048	-8.467822
C97761753	P155131654	-8.467319
C03869939	P56792461	-8.465427
C82996710	P129767449	-8.462030
C86057603	P134789567	-8.460302
C72197386	P112154929	-8.459424
C38600476	P58429224	-8.449771
C95869931	P150894235	-8.446987
C85227510	P133359270	-8.446134
C86660203	P135651933	-8.442189
C76166875	P118803985	-8.441490
C37461511	P55710219	-8.440406
C38523819	P132606343	-8.439452
C83937285	P131339710	-8.436283
C97736321	P155065748	-8.436140
C69506335	P122369156	-8.433751
C04544521	P06219506	-8.431960
C37440376	P55674866	-8.430945
C48630888	P72699270	-8.429560
C72230870	P112219379	-8.428699
C70295405	P108368128	-8.426841
C87229336	P136499715	-8.422783
C42040413	P63623377	-8.419319
C82476675	P128888917	-8.417231
C37919944	P56983499	-8.412386
C35382256	P52512186	-8.412342
C70286936	P108345849	-8.408877
C80937149	P126379197	-8.408793
C42040577	P63623457	-8.401541
C87666364	P137137159	-8.399504
C83274984	P130168707	-8.395940
C85275770	P133442969	-8.395445
C85420816	P133703560	-8.392970
C48262969	P72208098	-8.392605
C83281337	P130183447	-8.384974
C70590893	P108886028	-8.370621
C85133553	P133223209	-8.364606
C04787862	P06905685	-8.363230
C82583446	P129059853	-8.360840
C94465098	P148064370	-8.354924
C04786584	P06903634	-8.350883
C20417407	P30428796	-8.345510
C92775311	P145220810	-8.342142
C91657941	P143485470	-8.342112
