Title	FRED Chemgauss4 score
C82598966	P129091305	-6.208291
C87440425	P136787889	-6.207949
L-Alanine	P10000028	-6.199663
C54433554	P81923854	-6.198068
C39053924	P59169126	-6.196608
C88001803	P137647695	-6.194182
C95869685	P150893526	-6.194027
C72210807	P112191516	-6.192881
C85004486	P133054956	-6.192037
AOC	P10000032	-6.188091
C39065006	P59185477	-6.186178
C82915337	P129630570	-6.185273
C38523819	P132606343	-6.183899
C44776899	P67529880	-6.183694
C08681527	P57121907	-6.182978
C78564008	P122600660	-6.181038
C55060960	P82932939	-6.179060
C70638491	P108965909	-6.169530
C19168263	P28303153	-6.167714
C83947683	P131340971	-6.167539
C05510479	P08181956	-6.163126
C87777191	P137311341	-6.160743
C85227510	P133359270	-6.155583
C50395723	P75386859	-6.155343
C86400074	P135284224	-6.144022
C31369269	P118184604	-6.143997
C91517717	P143209456	-6.143485
C85374462	P133634517	-6.137343
C89086820	P139339947	-6.136703
C95922182	P151021485	-6.135343
C70646602	P108984036	-6.132672
C39095921	P59227803	-6.132649
C45059901	P67910381	-6.127189
C59696613	P90963035	-6.121320
C82467311	P128880080	-6.112452
C00392817	P06167783	-6.110135
C82467277	P128880059	-6.109854
C87971498	P137595737	-6.107332
C87400800	P136736128	-6.106470
C87688032	P137156844	-6.103959
C05517273	P08195376	-6.103606
C62780094	P96346646	-6.102606
C82450205	P128859289	-6.096568
C84991573	P133024479	-6.095132
C86007953	P134727430	-6.091555
C90311277	P141184880	-6.091530
C34538857	P89695694	-6.090666
C47822425	P71595812	-6.087072
C50269940	P91555757	-6.085789
C87440555	P136788019	-6.084874
C82909345	P129612485	-6.084212
C19260305	P28485389	-6.078413
C37207947	P55328418	-6.076278
C42030400	P63621419	-6.073847
C86400076	P135284226	-6.072390
C93975550	P147291564	-6.070946
C82987577	P129755020	-6.070023
C02539687	P23071667	-6.069874
C79926186	P124866785	-6.066514
C87395652	P136731630	-6.066041
C49714843	P74276194	-6.061690
C51123437	P76554058	-6.056437
C80739801	P126048467	-6.052517
C82680771	P129217506	-6.052377
C44197910	P66763191	-6.051980
C87121096	P136358264	-6.049651
C51840091	P77649079	-6.049161
C00162133	P05572005	-6.044504
C80262826	P125353148	-6.043709
