Title	FRED Chemgauss4 score
C82900115	P129596089	-5.997068
C82476675	P128888917	-5.992475
C85004486	P133054956	-5.987704
C45626663	P120958679	-5.984859
C58851774	P89082394	-5.984818
C87651822	P137104705	-5.982525
C97534945	P154539649	-5.982433
C37730151	P56098300	-5.981987
C86591349	P135571780	-5.972789
C88371168	P138217588	-5.972148
C88067457	P137750758	-5.971673
C22061976	P32822232	-5.969171
C70646602	P108984036	-5.967569
C87572129	P136980498	-5.967484
C87593473	P137019368	-5.964995
C70842458	P128807509	-5.962263
C83551924	P130695650	-5.960285
C71484901	P110638633	-5.957986
C87338650	P136656130	-5.950688
C70368618	P108497256	-5.949372
C89754839	P140318181	-5.945938
C04904580	P07155831	-5.942734
C36853506	P90345133	-5.935417
C69189165	P106351442	-5.933787
C84991571	P133024477	-5.929886
C70841683	P109362130	-5.926830
C82561211	P129033962	-5.926213
C69972231	P107842260	-5.923508
C87375881	P136703724	-5.920253
C97361815	P154194864	-5.919043
C37919944	P56983499	-5.918027
C93975550	P147291564	-5.917408
C37820463	P56254837	-5.913456
C38124694	P57326764	-5.906692
C86827631	P135917923	-5.899140
C85248959	P133376742	-5.898337
C39058911	P151021703	-5.898088
C03830889	P56794640	-5.893268
C37207947	P55328418	-5.885710
C59696613	P90963035	-5.875042
C85275828	P133443055	-5.874393
C80745907	P126057400	-5.873174
C69691212	P107337996	-5.871789
C91502398	P143190438	-5.865869
C62780094	P96346646	-5.863668
C51924279	P77771538	-5.859659
C41050702	P62310475	-5.858222
C82987577	P129755020	-5.855239
C88067459	P137750760	-5.851644
C35415528	P52545805	-5.851264
C38038649	P57193787	-5.849620
C38995816	P59081245	-5.846152
C88999711	P139200393	-5.844732
C77293168	P120587004	-5.843575
C94371941	P147915902	-5.841893
C85004490	P133054962	-5.841561
C42040577	P63623457	-5.832470
C85170204	P133262360	-5.827705
C20438719	P129507092	-5.826422
C03954260	P132242232	-5.819878
C38600476	P58429224	-5.818168
C40545288	P61562844	-5.818012
C83811975	P131111335	-5.817724
C94090624	P147455962	-5.812093
C79162526	P123601573	-5.810429
C35382256	P52512186	-5.806880
C83574842	P130736246	-5.803314
C14241055	P21824158	-5.799391
C90205859	P141011823	-5.799100
C36827785	P54736345	-5.798709
C65742667	P101141789	-5.797029
C20546222	P30637893	-5.795969
C83142747	P129966553	-5.793295
C39134825	P59289426	-5.792295
C26574468	P151033270	-5.790793
C95641616	P150394477	-5.785387
C87229336	P136499715	-5.782786
C85542475	P133883331	-5.781178
C95922804	P151023683	-5.773488
C70947713	P109519860	-5.772076
C03640326	P46473025	-5.766822
C86491376	P135426479	-5.762392
C05134886	P141865301	-5.758904
C85085338	P133149953	-5.757961
C95627120	P150369225	-5.757052
C88028385	P137679006	-5.755284
C37440376	P55674866	-5.752005
C98090319	P155911238	-5.748577
C50674474	P80478612	-5.746281
C95673041	P150460172	-5.743154
C95922135	P151020631	-5.740602
C95922135	P151021417	-5.740602
C85227510	P133359270	-5.739848
C00896178	P50892193	-5.737383
C87732307	P137229475	-5.733587
C97489182	P154436569	-5.732220
C83746260	P131008103	-5.731197
C11616542	P120183584	-5.731107
C35423264	P52560422	-5.730056
C03869939	P56792461	-5.727849
C83937285	P131339710	-5.727787
C87121135	P136358271	-5.725917
C22113380	P59990568	-5.723373
C36896014	P54845933	-5.721586
C00392817	P06167783	-5.718427
C00162126	P05572008	-5.708988
C48630575	P72706512	-5.705801
C39113937	P59254497	-5.704045
C95869931	P150894235	-5.700203
C82916931	P129633296	-5.694450
C85371966	P133630555	-5.693322
C70948079	P109520047	-5.689761
C39095921	P59227803	-5.689410
C86400074	P135284224	-5.687409
C37321360	P55502532	-5.687076
C85618496	P134076390	-5.686791
C87588443	P137003148	-5.684734
C54526015	P82065671	-5.682192
C86088781	P134832591	-5.682120
